,image,subject,scanner,type,view
1039,orig/s08-bas-si-skyra-16-mprage-20140518/s08-bas-si-skyra-16-mprage-20140518_y.png,s08,bas-skyra-mprage,orig,Coronal
1040,orig/s08-bas-si-skyra-16-mprage-20140518/s08-bas-si-skyra-16-mprage-20140518_z.png,s08,bas-skyra-mprage,orig,Axial
1041,orig/s05-sf-si-skyra-7-mprage-20140326/s05-sf-si-skyra-7-mprage-20140326_z.png,s05,sf-skyra-mprage,orig,Axial
1042,orig/s05-sf-si-skyra-7-mprage-20140326/s05-sf-si-skyra-7-mprage-20140326_x.png,s05,sf-skyra-mprage,orig,Sagittal
1043,orig/s05-sf-si-skyra-7-mprage-20140326/s05-sf-si-skyra-7-mprage-20140326_y.png,s05,sf-skyra-mprage,orig,Coronal
1044,orig/s08-bas-si-skyra-6-mprage-20140518/s08-bas-si-skyra-6-mprage-20140518_z.png,s08,bas-skyra-mprage,orig,Axial
1045,orig/s08-bas-si-skyra-6-mprage-20140518/s08-bas-si-skyra-6-mprage-20140518_y.png,s08,bas-skyra-mprage,orig,Coronal
1046,orig/s08-bas-si-skyra-6-mprage-20140518/s08-bas-si-skyra-6-mprage-20140518_x.png,s08,bas-skyra-mprage,orig,Sagittal
1047,orig/s11-mil-ph-intera-501-mprage-20140510/s11-mil-ph-intera-501-mprage-20140510_y.png,s11,mil-intera-mprage,orig,Coronal
1048,orig/s11-mil-ph-intera-501-mprage-20140510/s11-mil-ph-intera-501-mprage-20140510_x.png,s11,mil-intera-mprage,orig,Sagittal
1049,orig/s11-mil-ph-intera-501-mprage-20140510/s11-mil-ph-intera-501-mprage-20140510_z.png,s11,mil-intera-mprage,orig,Axial
1050,orig/s09-bas-si-skyra-16-mprage-20140518/s09-bas-si-skyra-16-mprage-20140518_y.png,s09,bas-skyra-mprage,orig,Coronal
1051,orig/s09-bas-si-skyra-16-mprage-20140518/s09-bas-si-skyra-16-mprage-20140518_x.png,s09,bas-skyra-mprage,orig,Sagittal
1052,orig/s09-bas-si-skyra-16-mprage-20140518/s09-bas-si-skyra-16-mprage-20140518_z.png,s09,bas-skyra-mprage,orig,Axial
1053,orig/s00-ams-ge-discovery-3-fspgr-20140519/s00-ams-ge-discovery-3-fspgr-20140519_z.png,s00,ams-discovery-fspgr,orig,Axial
1054,orig/s00-ams-ge-discovery-3-fspgr-20140519/s00-ams-ge-discovery-3-fspgr-20140519_x.png,s00,ams-discovery-fspgr,orig,Sagittal
1055,orig/s00-ams-ge-discovery-3-fspgr-20140519/s00-ams-ge-discovery-3-fspgr-20140519_y.png,s00,ams-discovery-fspgr,orig,Coronal
1056,orig/s01-osl-ge-signa-3-fspgr-20140522/s01-osl-ge-signa-3-fspgr-20140522_z.png,s01,osl-signa-fspgr,orig,Axial
1057,orig/s01-osl-ge-signa-3-fspgr-20140522/s01-osl-ge-signa-3-fspgr-20140522_x.png,s01,osl-signa-fspgr,orig,Sagittal
1058,orig/s01-osl-ge-signa-3-fspgr-20140522/s01-osl-ge-signa-3-fspgr-20140522_y.png,s01,osl-signa-fspgr,orig,Coronal
1059,orig/s09-mil-ph-intera-901-sense-20140514/s09-mil-ph-intera-901-sense-20140514_z.png,s09,mil-intera-sense,orig,Axial
1060,orig/s09-mil-ph-intera-901-sense-20140514/s09-mil-ph-intera-901-sense-20140514_y.png,s09,mil-intera-sense,orig,Coronal
1061,orig/s09-mil-ph-intera-901-sense-20140514/s09-mil-ph-intera-901-sense-20140514_x.png,s09,mil-intera-sense,orig,Sagittal
1062,orig/s10-bas-si-skyra-10-t1se-20140518/s10-bas-si-skyra-10-t1se-20140518_y.png,s10,bas-skyra-t1se,orig,Coronal
1063,orig/s10-bas-si-skyra-10-t1se-20140518/s10-bas-si-skyra-10-t1se-20140518_x.png,s10,bas-skyra-t1se,orig,Sagittal
1064,orig/s10-bas-si-skyra-10-t1se-20140518/s10-bas-si-skyra-10-t1se-20140518_z.png,s10,bas-skyra-t1se,orig,Axial
1065,orig/s03-ams-ge-discovery-3-fspgr-20140519/s03-ams-ge-discovery-3-fspgr-20140519_x.png,s03,ams-discovery-fspgr,orig,Sagittal
1066,orig/s03-ams-ge-discovery-3-fspgr-20140519/s03-ams-ge-discovery-3-fspgr-20140519_y.png,s03,ams-discovery-fspgr,orig,Coronal
1067,orig/s03-ams-ge-discovery-3-fspgr-20140519/s03-ams-ge-discovery-3-fspgr-20140519_z.png,s03,ams-discovery-fspgr,orig,Axial
1068,orig/s03-ber-si-triotim-5-mprage-20140520/s03-ber-si-triotim-5-mprage-20140520_z.png,s03,ber-triotim-mprage,orig,Axial
1069,orig/s03-ber-si-triotim-5-mprage-20140520/s03-ber-si-triotim-5-mprage-20140520_x.png,s03,ber-triotim-mprage,orig,Sagittal
1070,orig/s03-ber-si-triotim-5-mprage-20140520/s03-ber-si-triotim-5-mprage-20140520_y.png,s03,ber-triotim-mprage,orig,Coronal
